ID,Prediction
1,0.920542759852
2,0.468067162681
3,0.972360252243
4,0.478425783625
5,0.665894634812
6,0.67011199396
7,0.929089719565
8,0.972186739857
9,0.851907199232
10,0.959848281859
11,0.996153772196
12,0.969160822274
13,0.474769566328
14,0.997973038153
15,0.997998789997
16,0.865494705999
17,0.994039443635
18,0.431610280078
19,0.152348126222
20,0.0314575617996
21,0.540236845451
22,0.994924303232
23,0.884496254028
24,0.370605564683
25,0.783259502661
26,0.965234406478
27,0.632672998647
28,0.998538846201
29,0.996868048367
30,0.995990702489
31,0.601565679102
32,0.996002019366
33,0.998951843141
34,0.996511028649
35,0.997844077537
36,0.966642660643
37,0.191551294348
38,0.240504997313
39,0.891998607336
40,0.599730210474
41,0.967765954508
42,0.774933327643
43,0.385995093684
44,0.983894222642
45,0.890244998547
46,0.907731175649
47,0.978859524764
48,0.99322188226
49,0.998859775996
50,0.885938878398
51,0.996587799927
52,0.506431513927
53,0.997874985639
54,0.970808799645
55,0.998123173329
56,0.441833129458
57,0.655210055975
58,0.746792903942
59,0.999236669178
60,0.984441568823
61,0.846378342867
62,0.212340770069
63,0.987478098292
64,0.914967625456
65,0.999639955259
66,0.994685788401
67,0.987703569431
68,0.997061242844
69,0.465154967777
70,0.218651384518
71,0.118649595739
72,0.352404364173
73,0.999653614655
74,0.996988612467
75,0.606060770134
76,0.725146038425
77,0.983149726742
78,0.897333156521
79,0.871757654108
80,0.992539072942
81,0.861098312216
82,0.325057509704
83,0.24729746016
84,0.981871179218
85,0.992074139029
86,0.409663839009
87,0.996481398843
88,0.981308440365
89,0.993538386574
90,0.44503207931
91,0.997464586356
92,0.769335268503
93,0.99182480751
94,0.997709480943
95,0.778088755885
96,0.299320796752
97,0.805154326344
98,0.59261192363
99,0.932246536189
100,0.889763791247
101,0.973612534052
102,0.944171984434
103,0.988724473675
104,0.277322377092
105,0.998242076821
106,0.996491070149
107,0.388219526847
108,0.994373925139
109,0.996818230486
110,0.939718381983
111,0.98756022571
112,0.99858555891
113,0.996296545221
114,0.812843623808
115,0.515801475065
116,0.989408134155
117,0.374019970831
118,0.810515156134
119,0.994699601375
120,0.99732063039
121,0.996451820889
122,0.99873973344
123,0.991961650927
124,0.99347213946
125,0.83877614172
126,0.997587954483
127,0.989301397325
128,0.974392167678
129,0.993784067944
130,0.0618066289934
131,0.998537936632
132,0.991836840027
133,0.996824165383
134,0.997144610036
135,0.994052289395
136,0.998222106884
137,0.421599117178
138,0.178567053319
